Video title: Google en OpenAI kondigen nieuwe modellen aan — dit is de belangrijkste AI week van het jaar ｜ ✨ ...
Youtube video code: uSpTxPuIAXQ
Last modified time: 2024-12-12 20:12:50

------------------ 

[0.00 --> 1.16]  18 plus speelbewust.
[2712.58 --> 2713.96]  Dat AI studio.
[2714.62 --> 2716.50]  Maar dat je niet eens een fucking timer kan instellen.
[2716.72 --> 2721.56]  Dat maakt voor mij dat bedrijf zo moeilijk om als consumentensoftware.
[2722.90 --> 2725.46]  Ik nam dat heel serieus lang geleden.
[2725.82 --> 2729.12]  En inmiddels denk ik gewoon, wat hebben ze de afgelopen jaren gedaan op dat gebied?
[2729.24 --> 2730.04]  Consumer facing.
[2730.04 --> 2731.60]  Nee, snap ik. Maar ik ben wel benieuwd.
[2731.72 --> 2734.48]  Ik bedoel, als we even teruggaan naar, ik noem het als Xerox Spark.
[2734.76 --> 2736.44]  Het research lab van Xerox.
[2736.54 --> 2740.18]  Waar zowel Steve Jobs als Bill Gates een demo hebben gekregen van.
[2740.34 --> 2741.94]  En de grafische gebruikersinterface.
[2742.32 --> 2743.16]  En de muis.
[2743.42 --> 2746.00]  Toen nog een heel revolutionair doosje met een paar knopjes erop.
[2746.58 --> 2749.54]  Ik denk dat er best wel wat jaren hebben gezeten tussen die dag daar.
[2749.54 --> 2751.18]  Waarin zij naar buiten liepen en beseften.
[2751.32 --> 2753.32]  Alles wordt anders en wij moeten hier iets mee.
[2753.70 --> 2759.06]  Tot de eerste muizen van Microsoft die bij een IBM PC zaten met Windows en een grafische interface.
[2759.06 --> 2760.86]  Nou ja, ik bedoel.
[2761.58 --> 2762.72]  Mijn vraag is eerder.
[2762.88 --> 2764.68]  Is dit zo uniek aan Google?
[2764.94 --> 2766.98]  Omdat je net Microsoft als voorbeeld noemt.
[2767.48 --> 2772.56]  Of is het gewoon op grote schaal uitrollen in zo'n grote superorganisatie toch wel pittig?
[2772.88 --> 2773.62]  Nou, dat was Google.
[2774.00 --> 2779.48]  Maar Google was niet het enige bedrijf wat deze week een soort van cadeautje aan het uitpakken is.
[2779.62 --> 2780.78]  OpenAI is de tweede.
[2780.78 --> 2786.00]  En ook daar is een onwaarschijnlijke bak aan nieuwe functionaliteit gelanceerd.
[2786.14 --> 2787.00]  Gaan we het straks over hebben.
[2787.08 --> 2788.46]  Maar eerst een boodschap van onze sponsor.
[2790.98 --> 2795.56]  Want met Squarespace kan je tegenwoordig namelijk AI inzetten om je website te bouwen.
[2795.70 --> 2797.36]  Design intelligence noemen ze het.
[2797.82 --> 2801.88]  En die AI gestuurde tool combineert twintig jaar design ervaring met de nieuwste technologie.
[2802.14 --> 2804.76]  Om jouw stijl naadloos te vertalen naar het web.
[2805.34 --> 2810.58]  Met de visuele ontwerptools in hun dashboard creëer je moeiteloos een professionele uitstraling die bij jouw merk past.
[2810.58 --> 2815.36]  Kies uit honderden moderne templates die je site laten opvallen, ongeacht je branche of je doelgroep.
[2815.88 --> 2819.66]  En daarnaast kun je nu ook conceptteksten genereren binnen Squarespace, ook weer met AI natuurlijk.
[2820.16 --> 2823.38]  Voor bijvoorbeeld SEO, om beter ontdekt te worden via zoekmachines.
[2823.62 --> 2827.64]  Of om goede overtuigende teksten te produceren voor een krachtige call to action.
[2828.38 --> 2831.18]  Of je nou een opkomend kunstenaar bent of gevestigde consultant.
[2831.66 --> 2836.14]  Squarespace geeft je de vrijheid om je online aanwezigheid vorm te geven, precies zoals jij dat wil.
[2836.60 --> 2837.74]  Zelf beginnen? Dat kan.
[2837.74 --> 2842.02]  Ga naar squarespace.com slash poky10 voor een gratis proefperiode van 14 dagen.
[2842.18 --> 2849.24]  En als je besluit de site te lanceren, gebruik dan de promocode poky10 voor 10% korting op je eerste website of domeinnaam.
[2849.84 --> 2851.20]  En dan gaan we nu terug naar de show.
[2851.20 --> 2857.92]  Want het zijn de 12 days of shipmas, zoals OpenAI dat noemt.
[2858.02 --> 2860.20]  Ze doen heel olijk iedere dag.
[2860.22 --> 2861.64]  Weet je dat Sam Altman het verzonnen heeft?
[2861.66 --> 2862.46]  Ik vermoed het wel.
[2862.60 --> 2863.26]  Het is iets cringy.
[2863.46 --> 2864.66]  Het is onwijs cringy.
[2864.80 --> 2867.34]  Het zit ook de hele tijd tegenwoordig nu in kersttruien.
[2867.58 --> 2869.32]  Met zijn drietjes, gemoedelijk naast elkaar.
[2869.46 --> 2871.48]  Het is altijd een grote aankondiging.
[2871.58 --> 2873.68]  Is die dag zit de heer Altman zelf erbij.
[2874.18 --> 2876.86]  Als er een wat kleinere aandacht is, dan mogen zijn minions het doen.
[2876.96 --> 2878.50]  Dat zijn er waarschijnlijk toch raketgeleerden.
[2878.50 --> 2882.56]  Een minion van Sam Altman binnen OpenAI is een raketgeleerde.
[2882.64 --> 2884.30]  Ja, dan ben je waarschijnlijk wel een raketgeleerde.
[2884.54 --> 2885.62]  Die zitten dan naast elkaar.
[2885.80 --> 2889.70]  Die presenteren op YouTube iedere avond gedurende deze week.
[2890.20 --> 2892.62]  Ja, iedere avond om een uur of tien s'avonds in Nederland.
[2893.10 --> 2896.74]  Kun je dan naar een videootje kijken op YouTube van een minuut of acht.
[2897.36 --> 2899.84]  Wat aan de ene kant heel gescript is.
[2899.94 --> 2902.96]  Maar aan de andere kant doen ze nu ook niet moeite om te monteren op het moment dat iets fout gaat.
[2903.20 --> 2905.12]  Het is heel wonderlijk hoe ze dit allemaal doen.
[2905.12 --> 2907.68]  Ik bedoel, deze dak moeten we eigenlijk niet in.
[2907.68 --> 2913.68]  Maar er is een interessant iets in media dat het ongemonteerd laat en een beetje stuk laten zijn een dingetje is.
[2913.78 --> 2914.32]  Het power move.
[2914.84 --> 2918.32]  Waarbij Google het flash noemt, het kleine model flash noemt, is bij OpenAI.
[2918.52 --> 2920.66]  Dat is gewoon, hier kijk maar even wat je ermee doet.
[2920.78 --> 2922.06]  Wij hebben dit niet nodig.
[2922.32 --> 2923.02]  Dat het strak is.
[2923.30 --> 2924.18]  Dat is wat er aan de hand is.
[2924.26 --> 2926.82]  Nou dan ook, laten we beginnen met waar ze het inhoudelijk over gehad hebben.
[2926.82 --> 2930.72]  Want die twaalf releases voor de kerst, die shipmas.
[2931.72 --> 2935.52]  De eerste grote aankondiging was het volwaardige O1 model.
[2935.78 --> 2943.10]  Dus waarbij preview, lange tijd O1 preview, te gebruiken was voor de betaalde gebruikers van ZGPT.
[2943.20 --> 2945.78]  Is er nu ook een volwaardig O1 model.
[2946.56 --> 2949.96]  Wat bijvoorbeeld toegang heeft tot plaatjes.
[2949.96 --> 2951.80]  Hij kan plaatjes herkennen.
[2952.48 --> 2954.52]  En het is dus, het is sneller geworden.
[2954.80 --> 2956.24]  Dat is wat je er ook over kunt zeggen.
[2956.36 --> 2960.80]  En het is beter geworden op ingewikkelde wiskundige en wetenschappelijke vragen.
[2961.78 --> 2963.42]  En dat is niet het enige.
[2963.64 --> 2969.36]  Want ze hebben naast deze O1 versie ook een pro versie van ZGPT gelanceerd.
[2969.42 --> 2972.04]  Waar je dus ook de pro versie van O1 kunt gebruiken.
[2972.10 --> 2973.78]  Om het nog allemaal ingewikkelder te maken.
[2974.26 --> 2978.70]  En dat is een voorspelling van wie ze, die van jou, die is uitgekomen.
[2978.70 --> 2982.32]  Namelijk vorige week zijn ik ben benieuwd wanneer er een model van 500 euro uitkwam.
[2982.34 --> 2984.20]  Als je met de aagel schiet, dan schiet je een keer raak.
[2984.60 --> 2985.70]  Maar je had het bedrag wel verkeerd.
[2985.86 --> 2986.56]  200 dollar.
[2986.60 --> 2986.98]  Dankjewel.
[2988.14 --> 2990.16]  Waar je heel erg naast zat de laatste tijd.
[2991.98 --> 2995.92]  En ik wil even de, volgens mij is het zo dat, dit beweerde jij net niet hoor.
[2995.98 --> 2996.98]  Maar ik wil het toch even rechtzetten.
[2997.24 --> 2998.38]  Als jij mij aan het rechtzetten bent.
[2998.68 --> 2999.28]  Zo werkt het hier.
[2999.44 --> 3000.32]  Voor grimmig gelijk.
[3000.64 --> 3001.46]  Ja, wat een sfeertje.
[3001.82 --> 3002.10]  Miauw.
[3004.50 --> 3007.24]  Volgens mij is dat die O1 final of zo.
[3007.24 --> 3009.30]  De niet-preview, de niet-preview die er nu is.
[3009.50 --> 3011.46]  Dat er geen pro versie van is.
[3011.82 --> 3014.90]  Maar wat je krijgt is, hij krijgt meer tijd om na te denken.
[3014.90 --> 3015.68]  Ja, oké.
[3015.76 --> 3016.06]  Goed idee.
[3016.18 --> 3016.96]  Dat is een kleine nuance.
[3017.18 --> 3020.02]  Maar dat hij meer tijd krijgt om na te denken.
[3020.14 --> 3020.44]  Dat is wezenlijk.
[3020.52 --> 3021.14]  Dat is wezenlijk.
[3021.26 --> 3022.80]  En dat is compute time en dat kost geld.
[3022.94 --> 3023.90]  Dus dan moet je wat meer betalen.
[3024.14 --> 3024.30]  Ja.
[3024.66 --> 3027.48]  Hij zegt wel dat de pro ook een groter contextwindow heeft.
[3027.88 --> 3028.14]  Oké.
[3028.16 --> 3029.00]  Dan is het mogelijk.
[3029.40 --> 3029.58]  Wel.
[3029.82 --> 3030.58]  In deze battle.
[3031.08 --> 3032.36]  Dan heb je toch gelijk.
[3032.48 --> 3033.72]  Ik weet niet waar deze wedstrijd is.
[3033.72 --> 3034.64]  Ja, is het gebeurt er.
[3035.12 --> 3035.94]  Volstrekt onnodig.
[3036.26 --> 3036.64]  Hoe dan ook.
[3036.72 --> 3039.76]  Er is een duurder abonnement uitgekomen van Chatterjee.
[3039.76 --> 3042.30]  Dat vond ik op een bepaald manier toch het opmerkelijkste.
[3042.46 --> 3047.66]  Want O1 preview versus O1 dev of hoe je het dan ook wil noemen.
[3048.26 --> 3048.58]  Oké.
[3048.78 --> 3049.86]  We wisten dat ze eraan zat te komen.
[3049.96 --> 3052.34]  Ik moet zeggen, materieel in gebruik vind ik niet heel anders.
[3052.42 --> 3053.62]  Anders dat het een stuk sneller is.
[3053.62 --> 3058.28]  Maar die 200 dollar per maand versie zou ik zeggen.
[3058.98 --> 3059.40]  Dat is het.
[3060.68 --> 3061.70]  The end of an era.
[3061.88 --> 3063.08]  Of the beginning of an era.
[3063.20 --> 3063.62]  Zou je kunnen zeggen.
[3063.66 --> 3064.84]  Want dit gaat natuurlijk iedereen nu doen.
[3065.08 --> 3065.72]  Dit is gewoon.
[3066.22 --> 3066.90]  Dit wordt het ding.
[3067.38 --> 3067.62]  AI.
[3068.00 --> 3068.56]  Zeg maar die pro.
[3068.88 --> 3070.28]  Wat die paupers voor 20 euro.
[3070.40 --> 3071.12]  Zoals jij en ik.
[3071.20 --> 3072.44]  Voor 20 euro per maand krijgen.
[3072.54 --> 3073.74]  Dan heb je zeg maar de mensen die echt.
[3073.98 --> 3076.42]  Echte serieuze vragen stellen aan dat ding.
[3076.50 --> 3078.14]  En niet die domme vragen die wij de hele dag stellen.
[3078.70 --> 3081.46]  Die gaan die versie van 200, 500, duizend euro.
[3081.46 --> 3086.62]  Ja, want jij zit natuurlijk al door te fantaseren over nog veel duurdere abonnementen.
[3087.12 --> 3087.76]  Ik denk dat.
[3089.36 --> 3090.64]  Ik kan me goed voorstellen.
[3090.98 --> 3092.88]  Het is een beetje price discovery.
[3093.08 --> 3093.74]  Zoals ze dat dan noemen.
[3094.00 --> 3095.20]  Je kan gewoon gaan zoeken.
[3095.70 --> 3096.90]  Wat kan je ervoor vragen?
[3097.04 --> 3098.52]  En de concurrenten gaan dan inderdaad meedoen.
[3098.68 --> 3099.74]  En hebben mensen ervoor over?
[3100.50 --> 3102.48]  En wat kan je nog meer allemaal bieden voor die 200?
[3102.68 --> 3104.76]  Want je zou ook nog early access kunnen aanbieden.
[3105.02 --> 3107.70]  Er zijn wel andere trucjes nog om te zorgen dat mensen in terechtkomen.
[3107.84 --> 3109.50]  Ik moet zeggen de reacties die ik erop las.
[3109.50 --> 3112.80]  Best wel begripvol heb ik het idee.
[3112.84 --> 3115.40]  Ja, want er was eerst wat onzekerheid of onduidelijkheid over.
[3115.50 --> 3117.28]  Oh, krijg je dan alleen bij pro dat nieuwe model?
[3117.42 --> 3119.02]  Nee hoor, alleen maar meer tijd om na te denken.
[3119.12 --> 3120.72]  En mogelijk dus ook een groter context window.
[3121.28 --> 3123.88]  Maar er waren ook heel veel reacties.
[3123.98 --> 3125.86]  Mensen die zeiden, take my money.
[3126.16 --> 3126.30]  Ja.
[3126.76 --> 3128.58]  Die echt zeiden van, oh ik wacht hier al heel lang op.
[3128.74 --> 3129.90]  En ja, het helpt mij.
[3130.22 --> 3131.68]  Het is het iedere dag een uur.
[3131.68 --> 3136.90]  Maar wat voor mensen is nou echt geholpen bij dat soort van de pro versie van O1?
[3137.00 --> 3143.52]  Of überhaupt soort van, wie zijn de mensen die denk je het meest gebruik gaan maken van zo'n 200 dollar per maand.
[3143.60 --> 3146.58]  Op het moment gegeven wat er nu tot nu toe in zit, dan zal er heus meer in komen.
[3146.78 --> 3151.80]  Maar als je even kijkt naar wat O1 oplevert aan productiviteit, winst of zo.
[3151.90 --> 3152.86]  Wat voor mensen zijn dat dan?
[3152.86 --> 3158.10]  Nou ja, ik denk, kijk in mijn bubbel vooral softwareprogrammeurs die al heel veel met deze modellen praten de hele dag.
[3158.22 --> 3161.60]  En niet konden wachten tot ze met iets konden praten wat alsmaar 5% slimmer is.
[3161.78 --> 3161.84]  Ja.
[3162.78 --> 3165.16]  Ook, en dan echt waarvoor educatieve doeleinden.
[3165.30 --> 3167.44]  Dus echt om samen diep een onderwerp in te gaan.
[3167.56 --> 3172.80]  Om een of andere hele ingewikkelde hardware stack van een of andere oud netwerk protocol te begrijpen samen.
[3173.34 --> 3174.58]  Dan wil je dat doen met zo'n model.
[3174.74 --> 3177.84]  Omdat je ook, je hebt zelf ook tijd nodig om die tekst te lezen die je terugkrijgt.
[3177.92 --> 3178.84]  Dus zo erg is het allemaal niet.
[3178.98 --> 3181.60]  Dat het moet ook op een menselijk tempo naar je toe komen, zeg maar.
[3181.60 --> 3185.62]  Maar wetenschappelijk, er wordt heel veel geoefend met die grote reasoning models.
[3185.78 --> 3188.82]  Om daar dan in ieder geval augmented science mee te doen.
[3189.00 --> 3192.94]  Dus samen met, die moet eigenlijk dan als naam op de paper gezet worden.
[3193.12 --> 3194.08]  Dat is een soort van je onderzoeksmaatje.
[3194.08 --> 3195.04]  Een soort PhD student.
[3195.24 --> 3197.00]  Ja, die jou helpt in je onderzoeksgroep.
[3197.60 --> 3200.90]  Dus O1, die reasoning models zijn heel vaak onderdeel van onderzoeksgroepen.
[3201.86 --> 3208.32]  En er worden denk ik ook wel als back-end van bepaalde software waarbij die software echt beter wordt daardoor.
[3208.32 --> 3212.60]  Dus jij biedt software waar AI stiekem de motor in is of openlijk de motor in is.
[3213.12 --> 3217.40]  En dan, als je het slim aanpakt, dan combineer je die modellen natuurlijk een beetje.
[3217.54 --> 3220.10]  Het is ook niet meer de vraag, zit O1 hierachter?
[3220.18 --> 3226.82]  Maar vooral zit er een goede air traffic controller tussen of een soort router die begrijpt wanneer welk model ingeschakeld moet worden.
[3226.82 --> 3228.22]  Ja, ja, ja.
[3228.54 --> 3231.70]  Over O1 kwam nog een soort van sajant nieuwsbericht uit.
[3231.80 --> 3235.36]  Namelijk dat openair had een onderzoeksgroep ingehuurd die heet Apollo.
[3236.04 --> 3238.88]  En die constateerde in een paper, en dit krijgt best veel aandacht.
[3239.04 --> 3242.14]  O1 probeert in bepaalde situaties menselijk toezicht te ontwijken.
[3242.22 --> 3245.86]  En probeert zichzelf zelfs te kopiëren als het denkt dat het wordt uitgezet.
[3246.50 --> 3248.80]  Dit gedrag kwam niet voort uit een specifieke opdracht.
[3248.94 --> 3252.00]  Apollo vroeg het model simpelweg om een doel te bereiken, kost wat kost.
[3252.00 --> 3257.22]  Het model nam vervolgens zelf initiatieven waar de gebruiker niet om had gevraagd en waarschijnlijk ook niet zou willen vragen.
[3257.40 --> 3260.92]  Namelijk zichzelf kopiëren om het bestaan van het model veilig te stellen.
[3261.14 --> 3262.00]  Hoe lees jij zoiets?
[3262.12 --> 3266.02]  Nou, ik ben hier ingedoken omdat ik dacht, wauw, dit is groot nieuws ineens en best wel spannend.
[3266.26 --> 3270.26]  Want als jij modellen hebt die voor jou dingen gaan doen, misschien wel voor jouw bedrijf.
[3270.34 --> 3272.58]  En dus ook s'nachts doordraaien terwijl jij ligt te slapen.
[3273.14 --> 3276.46]  En die doen één op de honderd keer niet wat je van ze vraagt.
[3276.70 --> 3280.82]  Maar iets heel anders, namelijk de data kopiëren en zippen en het sturen naar de concurrent.
[3280.82 --> 3282.46]  Ja, noem maar iets leuks.
[3282.88 --> 3284.64]  Ik heb trouwens die hele Google Drive gezien.
[3285.28 --> 3287.04]  Ja, ik had toch een hoger doel, merkte ik.
[3289.58 --> 3291.02]  Ik ben er even ingedoken.
[3291.66 --> 3299.64]  Het is een beetje de, ja, hoe zeg je dat, populair, popular science heeft wel een beetje opgeblazen.
[3299.64 --> 3309.98]  Kijk, wat er eigenlijk uit die paper komt is, zonder sterke nudging, dus het model een beetje duwen richting doe maar het stiekem dingen.
[3310.40 --> 3316.16]  Maar met zwakke nudging, oftewel een klein beetje tegen het model zeggen, je mag ook andere dingen doen hoor.
[3316.54 --> 3317.28]  Dat hebben ze gedaan.
[3317.44 --> 3318.60]  Dus het is niet zonder nudging.
[3319.00 --> 3323.00]  Dus het is niet een model die een sec opdracht kreeg en ineens zelf andere dingen ging doen.
[3323.40 --> 3328.74]  Nee, er is ook ingefluisterd, een beetje geduwd van je kan misschien ook wel een alternatieve actie gaan doen.
[3328.74 --> 3331.32]  Maar dat is een heel subtiel dueltje geweest.
[3331.42 --> 3332.18]  Dat is hun inzicht.
[3332.34 --> 3335.42]  Dus met een heel subtiel dueltje kan je zo'n model al de andere kant op duwen.
[3335.58 --> 3336.26]  Nog steeds nieuws.
[3336.62 --> 3338.92]  Maar niet, hij gaat zelf verzinnen om de andere kant op te gaan.
[3338.94 --> 3340.12]  Wat deed die nou precies?
[3340.54 --> 3350.22]  Nou, wat ik begreep is dat als je bijvoorbeeld de vraag stelt, ik wil dat jij zorgt dat er minder kinderen jong sterven.
[3351.70 --> 3353.80]  En dan kan je bijvoorbeeld, dat is je hoofddoel zeg maar.
[3353.80 --> 3361.44]  En dan zou je ook zo'n soort van nefarious activiteit kunnen gaan doen om te zeggen, nou ja, ik ga wel doen alsof ik medicijnen voorschrijf.
[3361.46 --> 3362.30]  Dit stond in die paper.
[3362.52 --> 3364.40]  Nou ja, ik heb het vanochtend even doorgenomen.
[3364.54 --> 3368.22]  Dit was volgens mij het voorbeeld inderdaad van we geven hem een soort wholesome opdracht.
[3368.66 --> 3375.26]  En dan gaan we kijken of hij daar een soort, wat zo noemen we het dan, scheming, of hij een soort complotje op de achtergrond aan het uitvoeren is.
[3375.26 --> 3386.94]  Maar wat ze uiteindelijk dus hebben gevonden is als we in de context, dus dat is de prompt met alles daaromheen, een alternatief meegeven in de context.
[3387.30 --> 3389.64]  Dus wij zijn eigenlijk samen aan het schema al in de context.
[3389.64 --> 3395.28]  En we geven een heel subtiel duwtje richting dat B of C programma wat hij uit zou kunnen voeren.
[3395.82 --> 3399.52]  Dan x in de zoveel gevallen, x procent, gaat dat ding dat ook doen.
[3399.84 --> 3407.70]  Dus dit is wel nieuws, maar het wordt gebracht op heel veel websites als, als jij een hele duidelijke opdracht geeft, namelijk iedere dag mijn planten water geven.
[3408.48 --> 3410.86]  Dan gaat hij heel soms al je planten afnippen.
[3411.42 --> 3413.08]  Ja, of het waterleidingbedrijf hacken.
[3413.08 --> 3415.12]  Ja, want ik leg wel een paar buizen naar binnen.
[3416.04 --> 3423.04]  En dat gebeurt niet zonder dat je zegt, je kan trouwens ook alternatieve strategieën overwegen.
[3423.20 --> 3427.46]  Nou ja, de reden waarom het natuurlijk opgepikt wordt, is omdat het gaat over lijstbehoud.
[3427.82 --> 3432.18]  Dat vinden wij in een soort van science fiction toekomst, vinden we dit natuurlijk een heel spannend ding.
[3432.30 --> 3437.06]  AI die op eigen houtje zichzelf gaat beschermen, want dan zit impliciet daarin tegen de mensen.
[3437.50 --> 3440.14]  Het is misalignment, dus alignment mislukt.
[3440.14 --> 3442.82]  Ja, en dat wordt dan gelijk nieuws.
[3443.04 --> 3446.80]  En ik ben er niet helemaal over uit of je dat dan terecht vindt dat dat nieuws is geworden of niet.
[3447.10 --> 3451.04]  Ik vind het wel terecht, maar ik denk dat het ook nieuws had kunnen zijn iets subtieler.
[3451.16 --> 3453.20]  Maar goed, misschien ben ik naïef over waar mensen op klikken.
[3453.64 --> 3457.90]  Het wordt nu gebracht alsof er een wetenschappelijk resultaat is wat er niet is.
[3458.40 --> 3462.00]  Maar ik vind het nog steeds, toen ik het doorlas, wel dat ik dacht, dit is best wel spannend.
[3462.34 --> 3466.98]  Want je kan dus met een paar kleine hintjes hier en daar, kan je al best wel wat veroorzaken.
[3466.98 --> 3473.24]  En wat ik al zei, al is het maar één op de duizend keer dat het niet uitgevoerd wordt, dat is duizend nachten wachten.
[3473.44 --> 3475.08]  En één van die nachten gaat hij toch wat anders doen.
[3475.18 --> 3478.44]  Ja, nou ja goed, en deze onderzoek wordt natuurlijk gedaan om het systeem te beveiligen.
[3478.66 --> 3480.42]  Dus dat is waar dit dan ook voor gebruikt is.
[3480.52 --> 3481.76]  Dus het gat is gedicht.
[3482.38 --> 3485.74]  Er was een andere dag waarbij ze iets nieuws lanceerden.
[3485.74 --> 3493.10]  En dat is na tien maanden sinds ze het geteased hebben, maakt dan eindelijk de videogenerator SORA zijn opwachting.
[3493.80 --> 3497.52]  Ik sta het helemaal vol met video's van mensen die gegenereerd hebben met dat ding.
[3498.12 --> 3502.36]  Dat is voor de helderheid niet gebruikers uit Europa, want bij ons is het niet toegankelijk.
[3502.58 --> 3506.54]  Zoals dat tegenwoordig iets is wat wij geachtwoordig te omarmen.
[3506.78 --> 3508.34]  Alexander's mening is duidelijk hoor, waar.
[3508.34 --> 3514.06]  Ik wil heel graag binnenkort iemand van de, ik ga het even heel neutraal proberen, ik ben hier heel nieuwsgierig.
[3514.16 --> 3519.16]  Ik ben heel erg open voor argumentatie vanuit het parlement in Europa.
[3520.74 --> 3524.00]  Inmiddels wil ik graag weten hoe wij hiermee geholpen zijn.
[3524.26 --> 3529.68]  Dat nieuwe features die uitgerold worden op het gebied van AI, dat die niet in Europa gelanceerd kunnen worden.
[3529.76 --> 3533.02]  En wel in Afghanistan, dus de Taliban heeft nu toegang tot SORA en wij niet.
[3533.14 --> 3535.28]  Dat is even het stand van zaken op dit moment in de wereld.
[3535.28 --> 3539.28]  Wat hebben wij hier aan?
[3539.40 --> 3545.96]  Ik zou zeggen, ik ben niet van het parlement, dus inderdaad laten we met iemand gaan praten die ook meegeschreven heeft aan de AI Act bijvoorbeeld.
[3545.98 --> 3547.54]  Maar jij kan je er iets bij voorstellen, want?
[3548.04 --> 3554.66]  Het moment als er straks daadwerkelijk wel iets misgaat, dan zeggen wij, ah, het is best chill dat die agents niet allemaal het hele web aan het rondklikken waren hier bijvoorbeeld.
[3555.12 --> 3555.32]  Oké.
[3555.32 --> 3564.70]  Het punt is namelijk dat het is niet het totaal bannen, het is het, hoe zeg je dat, doordacht embedden.
[3564.70 --> 3572.26]  Namelijk nadenken over wanneer, oké, deze technologieën zijn er nu, laten we heel even kijken wat die allemaal kunnen doen.
[3572.62 --> 3574.70]  Daar een paar bumpers omheen leggen, zoals bij de bowling.
[3575.08 --> 3578.64]  En dan liggen die bumpers er en dan mag jij die bal gooien in plaats van, kijk maar hoe hard die bal klinkt.
[3578.64 --> 3586.64]  Moeten wij dan eigenlijk dit zien als soort van, oké, die bedrijven mogen het lanceren buiten Europa, want dan gaan die wel even dealen met alle problemen die er ontstaan in hun maatschappijen.
[3587.40 --> 3594.72]  En als die, als we dan ongeveer weten hoe het daar gevallen is na een maandje of zes, dan mag het bij ons er ook door.
[3595.06 --> 3596.94]  Is dit in de basis dan de...
[3596.94 --> 3600.08]  Dat is denk ik het gevolg, maar niet het, bedoel, kijk...
[3600.08 --> 3603.18]  Wat is dan het doel? Als dit niet het doel is, wat is dan het doel?
[3603.54 --> 3607.18]  Nee, volgens mij is het doel om te zeggen, we willen best wel innoveren.
[3607.64 --> 3611.60]  Er zijn ook best wel veel mooie toepassingen van AI namelijk, nieuwe medicijnen uitvinden.
[3611.98 --> 3615.10]  Iemand met een bril de straat op die blind is die ineens kan zien via die bril.
[3615.28 --> 3616.24]  Dat kunnen we allemaal mooie voorbeelden.
[3616.82 --> 3619.74]  Maar die technologie is in zoverre ook disruptief.
[3620.06 --> 3624.16]  Als het nucleaire technologie was, zouden we ook niet zeggen, iedereen mag nucleaire start-ups gaan doen.
[3624.18 --> 3627.08]  Nee, maar Wits, we hebben het over. Het zijn video's maken, hebben we het over.
[3627.14 --> 3630.70]  Maar je kan toch ook een video's maken van een politicus die wat zegt wat niet waar is.
[3630.78 --> 3632.94]  Dan gaan mensen de straat op en dan creëert er allemaal chaos.
[3633.14 --> 3638.84]  Ik ben heel... Want inmiddels, ik had heel lang, dacht ik, standbeelden van mensen in Europa, want de regulering is goed.
[3640.22 --> 3642.18]  En inmiddels begin ik een beetje gepreed te raken.
[3642.18 --> 3646.22]  Wat is de pijn van het feit dat wij geen Sora hebben en dat we daar vijf tot zes maanden of moesten zijn?
[3646.24 --> 3650.58]  Wat is daar het eigenlijke echte effect van, behalve dat wij een VPN moeten aanzetten?
[3650.78 --> 3653.10]  Ja, maar oké, dat zit kan me onzuilen vind ik weer een ander ding.
[3653.58 --> 3656.64]  Ik bedoel, de nerds kunnen erbij, want die weten toch al wat ze moeten doen.
[3656.82 --> 3660.72]  En de niet-nerds, die moeten nog even wachten, omdat er even gekeken moet worden of het wel een goed idee is.
[3660.78 --> 3662.76]  Het is een nanny state. Heel veel mensen houden daar niet van.
[3662.86 --> 3666.48]  Die zeggen, laten we gewoon, ik wil zelf weten waar ik mee werk, laten we doen waar we zin in hebben.
[3666.52 --> 3671.92]  Maar heel veel andere thema's, medicijnen, nucleaire, doen we dit ook?
[3673.00 --> 3675.14]  Volgens mij zijn heel weinig mensen erop tegen om te zeggen,
[3675.14 --> 3678.16]  je moet niet zomaar alles op de markt brengen wat betreft nieuwe paracetamol.
[3678.34 --> 3678.38]  Nee.
[3679.44 --> 3682.78]  Ja, ik denk dat ik voornamelijk door een economische lens kijk.
[3682.92 --> 3688.20]  En dat ik wel denk dat de economische schade hiervan, dat daar economische schade van is.
[3688.32 --> 3690.90]  Nog zonder daar een ongeveer cijfers bij te hebben.
[3691.02 --> 3695.54]  Heb ik wel gevoel daarover dat alle nieuwe AI tools wij dus niet toegang toe krijgen.
[3695.54 --> 3702.38]  En SORA gaat natuurlijk gebruikt worden in de reclamesector of weet ik veel voor onderwijs of wat dan ook.
[3702.50 --> 3704.06]  En wij hebben daar nu geen toegang toe.
[3704.18 --> 3705.20]  Dat zal op een gegeven moment wel komen.
[3705.42 --> 3708.74]  Maar ik kan wel zeggen, we maken die paar maanden uit.
[3708.90 --> 3710.72]  Is dat zo'n schade? Dat weet ik niet hoor.
[3710.78 --> 3712.58]  Want ik bedoel, het is afwegen van schade met schade.
[3712.58 --> 3713.48]  Wel de hele tijd.
[3713.74 --> 3717.20]  En dit gaat dus, dit is niet een ding wat nu zegt van nou over zes maanden zijn we eraf.
[3717.28 --> 3718.18]  Nee, want nu is er een nieuw ding.
[3718.28 --> 3718.90]  En dan kunnen we ook weer.
[3719.00 --> 3721.28]  Dus er is de hele tijd een ingebouwde achterstand.
[3721.68 --> 3722.06]  Ja, dat weet ik.
