Video title: Bestaat mijn baan straks nog？ ｜ ✨ Poki
Youtube video code: iVMNK7jyIdI
Last modified time: 2024-02-13 08:02:38

------------------ 

[0.00 --> 0.96]  Waar spaar jij voor?
[2213.84 --> 2214.88]  Zolang ik jou ken...
[2214.88 --> 2215.90]  ben jij al bang dat...
[2215.90 --> 2217.04]  dat het volk...
[2217.04 --> 2218.12]  in opstand komt...
[2218.12 --> 2218.90]  tegen de...
[2218.90 --> 2220.68]  de verspreiders van...
[2220.68 --> 2221.28]  van de...
[2221.28 --> 2222.72]  van de innovatie.
[2223.12 --> 2223.96]  Want dat zijn namelijk de mensen die...
[2223.96 --> 2225.76]  En de vraag is of ik er niet bij ga staan.
[2226.46 --> 2226.82]  Oh...
[2226.82 --> 2227.58]  Oké...
[2227.58 --> 2229.54]  Dat is ook nog een interessante...
[2229.54 --> 2230.98]  Als jij ter plaatse was geweest...
[2230.98 --> 2231.90]  bij deze zelfrijd...
[2231.90 --> 2232.94]  van de robotactie...
[2232.94 --> 2234.08]  dan had je hem ook...
[2234.08 --> 2234.50]  Dat zeg jij.
[2234.50 --> 2235.34]  kleiner gemaakt.
[2236.02 --> 2236.36]  Nee...
[2236.36 --> 2238.30]  Ik voel binnen mezelf dat ik...
[2238.30 --> 2238.56]  Ja...
[2238.56 --> 2240.16]  Ik moet altijd een beetje in de gaten houden...
[2240.16 --> 2242.04]  van wanneer...
[2242.04 --> 2243.46]  Ben je het eens met de meute...
[2243.46 --> 2243.82]  zeg maar.
[2244.12 --> 2245.62]  En ik weet dat niet zo goed.
[2245.70 --> 2247.04]  Dat gaat op intuïtie denk ik.
[2247.68 --> 2248.28]  Maar...
[2248.28 --> 2250.16]  auto's in de fix zeker lijkt me sowieso niet...
[2250.16 --> 2251.06]  een heel verstandig idee.
[2251.48 --> 2252.00]  Maar...
[2252.00 --> 2252.86]  ik weet dus niet zo goed.
[2253.30 --> 2253.74]  Kijk...
[2253.74 --> 2254.82]  Ik heb het eerder...
[2254.82 --> 2256.14]  buiten deze show...
[2256.14 --> 2256.90]  wel eens met jou gehad...
[2256.90 --> 2257.70]  over dat ik zei...
[2257.70 --> 2259.10]  Er komt een moment...
[2259.10 --> 2261.40]  waarin deze technologie zo hevig is...
[2261.40 --> 2262.44]  zo snel gaat...
[2262.44 --> 2263.64]  zo...
[2263.64 --> 2264.08]  eh...
[2264.08 --> 2265.64]  fijn is voor een hele kleine groep...
[2265.64 --> 2267.52]  en minder fijn voor een hele grote groep...
[2267.52 --> 2268.88]  dat er mensen met molotovs...
[2268.88 --> 2269.84]  naar datacentra gaan.
[2269.98 --> 2270.08]  Zeg maar.
[2270.28 --> 2271.44]  Dat is een beetje wat ik dan...
[2271.44 --> 2272.20]  En nu...
[2272.20 --> 2273.42]  zeg jij eigenlijk van...
[2273.42 --> 2274.06]  Het is gebeurd.
[2274.06 --> 2275.54]  Maar alleen begon het met een...
[2275.54 --> 2276.52]  met een robotaxi.
[2276.66 --> 2276.82]  Ja.
[2277.56 --> 2277.84]  Ja.
[2278.80 --> 2280.78]  Ik denk dat jij het beeld hebt gezien...
[2280.78 --> 2281.06]  of niet?
[2281.34 --> 2281.84]  Ja, zeker.
[2281.84 --> 2282.88]  Van de robotaxi...
[2282.88 --> 2284.08]  die dan lust moet worden.
[2284.20 --> 2285.26]  Wat vond je van dat beeld?
[2285.66 --> 2286.04]  Nou...
[2286.04 --> 2287.36]  Ik had meteen dat vreemde bij...
[2287.36 --> 2287.90]  maar tegelijkertijd...
[2287.90 --> 2289.18]  dat vreemde wat ik net uitleg...
[2289.18 --> 2290.16]  van dan gaat het moment...
[2290.16 --> 2291.18]  en dan gaat het gericht zijn...
[2291.18 --> 2291.68]  richting die...
[2291.68 --> 2293.20]  fysieke infrastructuur.
[2293.28 --> 2294.06]  Dat zijn datacentra...
[2294.06 --> 2294.78]  dat zijn robots...
[2294.78 --> 2296.18]  dat zijn die auto's.
[2296.24 --> 2296.86]  En die auto's...
[2296.86 --> 2298.06]  dat zijn eigenlijk de eerste...
[2298.06 --> 2299.38]  vierwielige robots...
[2299.38 --> 2300.50]  die in het straatbeeld zijn.
[2300.62 --> 2301.42]  Niet hier in Nederland...
[2301.42 --> 2302.16]  over het algemeen...
[2302.16 --> 2303.30]  maar wel in San Francisco.
[2303.48 --> 2304.08]  AI op wielen.
[2304.62 --> 2304.84]  Ja.
[2304.98 --> 2305.56]  AI op wielen.
[2305.72 --> 2306.46]  Schone robot...
[2306.46 --> 2307.32]  zonder voeten...
[2307.32 --> 2308.14]  maar met banden.
[2309.76 --> 2310.08]  Die...
[2310.08 --> 2311.10]  en dan gaat daar...
[2311.10 --> 2312.30]  gaan die mensen iets tegen doen.
[2313.44 --> 2314.08]  Nou, het is niet...
[2314.08 --> 2314.74]  ik weet...
[2314.74 --> 2315.70]  ik kan het nog niet...
[2315.70 --> 2316.50]  als het inderdaad...
[2316.50 --> 2317.40]  een soort eerste is...
[2317.40 --> 2318.48]  en straks gaan er iedere week...
[2318.48 --> 2319.30]  drie auto's in de fik...
[2319.30 --> 2320.46]  en wordt die hele vloot...
[2320.46 --> 2321.64]  in brand gestoken...
[2321.64 --> 2322.54]  dan zitten we meer...
[2322.54 --> 2323.28]  op mijn intuïtie...
[2323.28 --> 2323.66]  dat ik denk...
[2323.66 --> 2324.24]  oei...
[2324.24 --> 2325.66]  ik dacht een datacenter...
[2325.66 --> 2326.52]  maar blijkbaar zijn het dan...
[2326.52 --> 2327.74]  de dingen die door de straat rijden.
[2328.22 --> 2329.42]  Ik voelde er wel iets bij...
[2329.42 --> 2330.42]  maar ik had ook nog zoiets van...
[2330.42 --> 2331.28]  ja...
[2331.28 --> 2331.94]  ik ben benieuwd.
[2332.60 --> 2333.20]  Jij dacht...
[2333.20 --> 2333.98]  het valt wel mee.
[2334.60 --> 2335.18]  Nou, ik dacht...
[2335.18 --> 2336.26]  ik dacht wel San Francisco.
[2336.82 --> 2338.02]  Dus ik weet niet zo goed...
[2338.02 --> 2339.82]  of ik daar die duiding aan kan geven.
[2340.06 --> 2340.84]  Ja, maar ik dacht...
[2340.84 --> 2342.06]  daarvan dacht ik juist...
[2342.06 --> 2343.98]  San Francisco loopt voor...
[2343.98 --> 2346.02]  en als het al in San Francisco gebeurt...
[2346.02 --> 2347.12]  moet je dan nagaan...
[2347.12 --> 2348.66]  hoe groot de woede gaat zijn...
[2348.66 --> 2352.42]  in gebieden waar mensen iets armer zijn...
[2352.42 --> 2352.92]  dan in San Francisco.
[2352.92 --> 2354.92]  Ja, maar ik denk dus op het moment dat...
[2354.92 --> 2355.30]  als die...
[2355.30 --> 2356.70]  nou, laten we zeggen concreet...
[2356.70 --> 2358.38]  als die robotaxis...
[2358.38 --> 2360.42]  beschikbaar zijn voor iedereen...
[2360.42 --> 2362.64]  ervoor zorgen dat mensen die niet kunnen rijden...
[2362.64 --> 2363.62]  kunnen rijden...
[2363.62 --> 2365.42]  oma kan langs bij haar kleinkind...
[2365.42 --> 2367.14]  want ze kan gratis meerijden.
[2367.26 --> 2369.66]  Want op welke manier dan ook...
[2369.66 --> 2371.26]  hebben wij met elkaar gezegd...
[2371.26 --> 2372.64]  als samenleving...
[2373.36 --> 2375.80]  wij subsidiëren die taxis...
[2375.80 --> 2376.84]  dat is zoiets moois...
[2376.84 --> 2378.02]  dat we allemaal naar elkaar toe kunnen...
[2378.02 --> 2378.34]  dat doen we.
[2378.60 --> 2380.52]  Dan gaat niemand daar een molotov op gooien...
[2380.52 --> 2380.86]  volgens mij.
[2380.86 --> 2383.12]  Volgens mij gaan mensen pas motos gooien...
[2383.12 --> 2384.36]  als die deur alleen maar open gaat...
[2384.36 --> 2385.76]  voor iemand met de hoogste creditcard.
[2386.50 --> 2387.84]  Daarom vind ik San Francisco...
[2387.84 --> 2388.76]  een moeilijke context...
[2388.76 --> 2390.98]  omdat het wel echt een ander land is...
[2390.98 --> 2392.00]  Amerika op dat gebied.
[2393.28 --> 2394.94]  Dus ik kan niet zo goed duiden...
[2394.94 --> 2396.56]  waar zijn mensen nu precies boos om?
[2396.68 --> 2397.38]  Is het...
[2397.38 --> 2399.18]  er zou sowieso nooit...
[2399.18 --> 2400.34]  een auto rond moeten rijden...
[2400.34 --> 2401.36]  zonder mensen erin...
[2401.36 --> 2403.10]  want dat is inherent...
[2403.10 --> 2404.10]  whatever...
[2404.10 --> 2405.56]  ook al is die gratis...
[2405.56 --> 2407.54]  ook al krijg je geld als je erin stapt...
[2407.54 --> 2408.80]  daar moet een molotov op...
[2408.80 --> 2410.22]  dan ben je echt bezig dat je zegt...
[2410.22 --> 2411.82]  er moet geen vervanging komen...
[2411.82 --> 2412.44]  voor de mensheid.
[2412.52 --> 2415.36]  Ik ben tegen alle vormen van kunstmatige intelligentie.
[2415.90 --> 2416.62]  Maar als jij zegt...
[2416.62 --> 2418.18]  nee, die ding is alleen maar voor de elite...
[2418.18 --> 2419.16]  en daarom ben ik boos...
[2419.16 --> 2420.90]  dan heb je toch een andere motivatie.
[2421.34 --> 2422.08]  Ik zat net...
[2422.08 --> 2423.36]  het is gerelateerd hier aan...
[2423.36 --> 2425.60]  de Superbowl was...
[2425.60 --> 2426.30]  wat is het hier?
[2426.42 --> 2426.78]  Gisteren?
[2426.84 --> 2427.54]  Gisteren weet ik veel.
[2427.54 --> 2428.34]  Ik volg die shit allemaal niet.
[2428.42 --> 2430.76]  Maar ik zag een reclame voorbij komen...
[2430.76 --> 2431.54]  van Microsoft...
[2431.54 --> 2434.54]  die tijdens de reclames van de Superbowl...
[2435.16 --> 2436.60]  een reclame had gemaakt...
[2436.60 --> 2437.54]  voor Co-Pilot.
[2437.54 --> 2439.46]  En heb je dit gezien?
[2439.80 --> 2440.02]  Nee.
[2440.46 --> 2441.92]  Het was een filmpje van een minuut...
[2441.92 --> 2443.46]  waarin allemaal jonge mensen...
[2443.46 --> 2445.22]  in heel mooi cinematografisch...
[2445.22 --> 2446.96]  in beeld gebracht worden...
[2446.96 --> 2448.04]  die allemaal dromen hebben.
[2448.86 --> 2450.52]  Sommigen willen een bedrijf beginnen...
[2450.52 --> 2451.60]  sommigen willen iets bouwen...
[2451.60 --> 2453.02]  sommigen willen muziek maken...
[2453.02 --> 2454.14]  sommigen willen...
[2454.14 --> 2455.76]  sommigen zeggen ze van...
[2455.76 --> 2457.60]  ze denken dat ik te oud ben...
[2457.60 --> 2458.60]  om nog wat te leren.
[2459.24 --> 2460.00]  Anderen zeggen...
[2460.00 --> 2460.44]  ik ben...
[2460.44 --> 2461.56]  zeggen dat ik te jong ben...
[2461.56 --> 2462.62]  om de wereld te veranderen.
[2462.72 --> 2463.14]  Allemaal mensen...
[2463.14 --> 2465.46]  mensen die grootste dingen willen doen...
[2465.46 --> 2465.98]  in de wereld.
[2466.44 --> 2467.64]  En de zin is elke keer...
[2467.64 --> 2468.74]  ze denken dat ik het niet kan.
[2469.48 --> 2471.14]  En dan vervolgens is de payoff...
[2472.00 --> 2473.14]  Microsoft Co-Pilot...
[2473.70 --> 2475.46]  wij helpen je...
[2475.46 --> 2476.80]  deze dingen mogelijk te maken.
[2476.96 --> 2478.06]  Het is een beetje in lijn...
[2478.06 --> 2478.84]  in wat jij net zegt...
[2478.84 --> 2480.50]  over die robotaxis.
[2480.66 --> 2481.52]  Als ze het verkopen...
[2481.52 --> 2483.14]  als iets kapitalistisch dan...
[2483.68 --> 2484.74]  en voor de rijken...
[2484.74 --> 2486.02]  dan kan er een Molotov cocktail op.
[2486.10 --> 2488.34]  Terwijl als het is om iedereen te helpen...
[2488.34 --> 2490.18]  en jouw dromen waar te maken...
[2490.18 --> 2492.60]  dan is het misschien iets wat meer...
[2492.60 --> 2492.62]  dan is het misschien iets wat meer...
[2492.62 --> 2493.52]  dan is het van ons.
[2493.56 --> 2494.50]  En ik opeens denk ik...
[2494.50 --> 2496.90]  misschien dat hier wel...
[2496.90 --> 2500.52]  allebei voelt als dat het een meme zou kunnen worden.
[2500.64 --> 2501.16]  En de vraag is...
[2501.16 --> 2503.88]  welke gaat de meeste aandacht krijgen?
[2504.40 --> 2505.24]  Ja, en ik denk dat...
[2505.24 --> 2506.86]  het voorbeeld van dat WhatsApp groepje...
[2506.86 --> 2507.74]  van Sam Altman...
[2507.74 --> 2509.58]  van dat eerste bedrijf met X-omzet...
[2509.58 --> 2509.98]  wat was het?
[2510.26 --> 2510.72]  100 miljard.
[2510.80 --> 2511.08]  miljard.
[2511.36 --> 2512.92]  Een miljard, denk ik dan.
[2513.02 --> 2513.56]  Ja, één miljard.
[2513.90 --> 2515.54]  En dan heb je...
[2515.54 --> 2516.78]  Kijk, dan is...
[2516.78 --> 2517.86]  Kijk, als het zo is...
[2517.86 --> 2519.18]  ieder mens heeft in essentie...
[2519.18 --> 2522.32]  het is een soort ultimate equalizer...
[2522.32 --> 2524.10]  wat heel erg discutabel is...
[2524.10 --> 2525.20]  want er zijn zoveel redenen...
[2525.20 --> 2526.42]  waarom het niet eerlijk kan zijn...
[2526.42 --> 2527.26]  maar dat is het idee.
[2527.86 --> 2529.34]  Dus het enige wat je hoeft te doen...
[2529.34 --> 2531.36]  is die telefoon te pakken.
[2531.48 --> 2532.32]  Die ligt voor je klaar.
[2532.36 --> 2533.74]  Je hoeft hem niet te kopen, hij ligt er.
[2533.86 --> 2534.78]  En dan hoef je alleen maar...
[2534.78 --> 2536.26]  in gesprek te gaan met een AI.
[2536.46 --> 2538.84]  En als jij maar nieuwsgierig genoeg bent...
[2538.84 --> 2540.24]  en maar genoeg wil...
[2540.24 --> 2541.36]  en durf hebt...
[2541.36 --> 2542.82]  dan gaat voor jou de wereld open.
[2543.16 --> 2545.40]  Dat is een beetje de ultieme marketingcampagne...
[2545.40 --> 2546.60]  van wij geven superpowers...
[2546.60 --> 2547.46]  aan de hele mensheid.
[2547.58 --> 2548.24]  Iedereen doet mee.
[2548.36 --> 2549.24]  Niemand heeft voordeel.
[2549.36 --> 2550.08]  Alles is eerlijk.
[2550.52 --> 2552.12]  Dan heb je minder weerstand...
[2552.12 --> 2553.62]  dan als je het paywallt...
[2553.62 --> 2555.58]  alleen maar in de duurste toestellen stopt...
[2555.58 --> 2556.74]  en ook nog eens...
[2556.74 --> 2557.86]  niet toegankelijk maakt...
[2557.86 --> 2558.78]  want het is gewoon heel moeilijk...
[2558.78 --> 2559.52]  om mee te werken.
[2560.00 --> 2561.50]  Ik denk als jij een ijskoeman bent...
[2561.50 --> 2561.74]  die gewoon rondrijdt...
[2561.74 --> 2563.74]  en letterlijk gratis ijsjes uitdeelt...
[2563.74 --> 2565.74]  aan wie ook maar wil...
[2565.74 --> 2566.84]  dat er weinig molotovs...
[2566.84 --> 2567.80]  op je ijskowagen komen.
[2568.38 --> 2569.28]  Maar als jij zegt...
[2569.28 --> 2570.54]  alleen met de pinpas betalen...
[2570.54 --> 2571.74]  heb je al kans op molotov...
[2571.74 --> 2572.60]  want geen cash meer.
[2573.64 --> 2575.38]  En als jij dan ook nog gaat kiezen...
[2575.38 --> 2576.66]  wie het ijsje wel of niet krijgt...
[2576.66 --> 2578.58]  of alleen maar in dure buurten gaat rijden...
[2578.58 --> 2579.58]  heb je hele grote kans...
[2579.58 --> 2580.68]  dat er meer mensen boos worden.
[2580.86 --> 2581.88]  Maar even serieus...
[2581.88 --> 2582.84]  wat zeg je nu...
[2582.84 --> 2583.50]  wat is nu...
[2583.50 --> 2586.60]  als je nu je thermometer...
[2586.60 --> 2588.38]  in de samenleving steekt...
[2589.14 --> 2592.46]  waar denk je nu anders over dan...
[2592.46 --> 2593.84]  dit zei jij tegen mij eigenlijk...
[2593.84 --> 2595.80]  een jaartje geleden of zo...
[2595.80 --> 2597.48]  toen was dit iets...
[2597.48 --> 2600.42]  waar je toch ook wel vrees voor voelde.
[2600.80 --> 2601.74]  Hoe zou je nu zeggen...
[2601.74 --> 2602.84]  wat is daar nu aan veranderd?
[2602.90 --> 2603.68]  Is het even groot?
[2603.78 --> 2604.42]  Valt het wel mee?
[2604.42 --> 2606.42]  Is de focus verlegd?
[2606.68 --> 2607.40]  Ja, mooie vraag.
[2607.54 --> 2608.42]  Ik zit te denken...
[2609.76 --> 2613.58]  Er is...
[2613.58 --> 2615.48]  de mensen die ik spreek...
[2615.48 --> 2617.02]  en ik ben niet de hele dag op straat...
[2617.02 --> 2618.58]  als een soort Griekse filosoof...
[2618.58 --> 2619.78]  vanuit een vuilnisbak...
[2619.78 --> 2620.42]  mensen aan het aanspreken...
[2621.04 --> 2621.42]  op hun levensvragen...
[2622.04 --> 2623.36]  maar ik probeer wel een beetje...
[2623.36 --> 2624.42]  in mijn omgeving...
[2624.42 --> 2626.54]  te voelen en los te krijgen...
[2626.54 --> 2628.30]  van wat is dat nou...
[2628.30 --> 2629.64]  hoe voelt dat nu zo'n wereld...
[2629.64 --> 2631.44]  waarin steeds meer AI voor wilde zijn?
[2631.52 --> 2633.34]  Ik laat ze dan ook expres zien...
[2633.34 --> 2634.50]  als ik weer iets nieuws heb.
[2635.00 --> 2636.50]  Bijvoorbeeld jouw HeyGN-video...
[2636.50 --> 2637.46]  die op je Twitter staat...
[2637.46 --> 2638.74]  die laat ik dan allemaal mensen zien.
[2638.84 --> 2639.48]  Van kijk dan!
[2639.72 --> 2640.18]  Kijk dan!
[2640.32 --> 2641.06]  Dit kan nu hè!
[2641.58 --> 2642.84]  En dan is het heel vaak...
[2642.84 --> 2643.40]  oeh, eng!
[2643.68 --> 2644.40]  Eng, eng!
[2644.56 --> 2645.48]  Want dat is dan de eerste...
[2645.48 --> 2646.74]  want dat is op zich...
[2646.74 --> 2648.06]  een primitieve mensreactie.
[2648.46 --> 2649.82]  Dus daar kan je dan cynisch over zijn...
[2649.82 --> 2650.84]  en zeggen alles wat nieuw is...
[2650.84 --> 2651.80]  vinden mensen eerst eng.
[2652.20 --> 2653.00]  Maar...
[2653.00 --> 2654.22]  dus dat heb je niet...
[2654.22 --> 2656.04]  die eerste take zegt dan eigenlijk...
[2656.04 --> 2657.24]  niet zoveel die mensen hebben.
[2657.34 --> 2658.38]  Want ja, mensen zijn gewoon...
[2658.38 --> 2658.98]  een beetje bang allemaal.
[2659.30 --> 2659.64]  Ik ook.
[2659.72 --> 2660.24]  Ik ben heel bang.
[2660.66 --> 2661.70]  Dus...
[2661.70 --> 2662.44]  maar wat...
[2662.44 --> 2663.38]  dus interessanter is...
[2663.38 --> 2664.04]  wat gebeurt er nou...
[2664.04 --> 2665.16]  als dat wat langer leeft...
[2665.16 --> 2666.08]  en een soort van...
[2666.08 --> 2667.66]  land in zo'n samenleving?
[2669.54 --> 2671.34]  Ik zie heel veel...
[2671.34 --> 2672.82]  enthousiasme ook bij mensen.
[2672.98 --> 2673.54]  Gewoon om me heen.
[2673.62 --> 2674.16]  Helemaal mensen...
[2674.16 --> 2675.02]  waar ik nooit van had gedacht...
[2675.02 --> 2676.44]  dat ze zulke tools gingen gebruiken...
[2676.44 --> 2677.66]  die ineens...
[2677.66 --> 2680.02]  ChatGPT ook geïnstalleerd hebben.
[2680.08 --> 2681.02]  Ik vraag het ook aan mensen...
[2681.02 --> 2682.12]  gebruik je wel als ChatGPT?
[2682.20 --> 2683.28]  Heb je de app geïnstalleerd?
[2683.34 --> 2684.24]  Nou, echt superveel.
[2684.60 --> 2685.52]  Waar gebruik je het dan voor?
[2685.52 --> 2687.02]  Oh, gewoon een beetje kletsen...
[2687.02 --> 2688.32]  of als ik gewoon nieuwsgierig ben...
[2688.32 --> 2689.44]  of ik kijk een tv-programma.
[2689.70 --> 2691.08]  Beetje wat Google vroeger deed.
[2691.26 --> 2692.32]  Dus die zullen...
[2692.32 --> 2693.44]  Ik snap hun wel met Gemini.
[2695.54 --> 2696.14]  Maar...
[2696.14 --> 2696.84]  en dan is het ook...
[2696.84 --> 2697.58]  dan vraag ik door...
[2697.58 --> 2698.16]  van ja, maar wat dan...
[2698.16 --> 2700.04]  als dit straks veel slimmer is?
[2700.46 --> 2701.90]  Nou, nu is het nog aardig dom hoor.
[2702.10 --> 2702.74]  Gratis versie.
[2702.84 --> 2703.18]  Denk al.
[2703.64 --> 2703.96]  Oké.
[2703.96 --> 2705.66]  Maar van jammer...
[2705.66 --> 2707.76]  want nu hebben we eigenlijk geen goed gesprek...
[2707.76 --> 2708.36]  erover.
[2708.86 --> 2709.36]  En dan zeg ik...
[2709.36 --> 2710.36]  maar ben jij dan...
[2710.36 --> 2712.24]  veilig voor wat jij doet?
[2712.80 --> 2714.78]  Ja, maar wat ik weet is een expert ding...
[2714.78 --> 2715.98]  of ik doe heel veel fysiek...
[2715.98 --> 2716.78]  en dat kan nog niet.
[2716.96 --> 2718.26]  Ik ben veilig in mijn fysieken...
[2718.26 --> 2719.22]  want er is nog geen robot.
[2721.28 --> 2722.36]  Dan merk ik...
[2723.02 --> 2724.36]  Ik heb mijn...
[2724.36 --> 2726.36]  Mijn mening is nu...
[2726.36 --> 2727.40]  wat ik zie...
[2727.40 --> 2728.28]  dat ik denk...
[2728.28 --> 2730.76]  Oké, ik maak me nog steeds zorgen...
[2730.76 --> 2733.36]  de reden dat het nog niet zo...
[2733.36 --> 2734.80]  breed...
[2734.80 --> 2736.36]  dat er nog niet een soort breed verspreid...
[2736.94 --> 2738.48]  onrust...
[2738.48 --> 2739.98]  rondom dit onderwerp is...
[2739.98 --> 2740.66]  of...
[2740.66 --> 2741.30]  in ieder geval...
[2741.30 --> 2742.66]  grotere verbazing...
[2742.66 --> 2743.36]  wat positiever...
[2743.90 --> 2744.82]  is omdat ik dan denk...
[2744.82 --> 2745.78]  dat toch heel veel mensen...
[2745.78 --> 2747.56]  het niet helemaal doorhebben nog...
[2747.56 --> 2747.72]  Ja.
[2748.10 --> 2748.36]  Wat er...
[2749.18 --> 2750.48]  kan nu...
[2750.48 --> 2751.80]  wat er in de maak is...
[2751.80 --> 2752.36]  en het momentum...
[2752.92 --> 2754.12]  Die snelheid is gewoon...
[2754.12 --> 2755.36]  voor jou en mij...
[2755.36 --> 2756.70]  amper bij te houden.
[2757.38 --> 2758.54]  We zitten inmiddels op de...
[2758.54 --> 2759.54]  AI dailies...
[2759.54 --> 2760.52]  in plaats van weeklies...
[2760.52 --> 2761.00]  qua nieuws...
[2761.00 --> 2762.02]  dus het is echt niet normaal.
[2762.02 --> 2764.54]  Wij gaan die dagelijks opnemen trouwens...
[2764.54 --> 2765.08]  geen zorgen...
[2765.08 --> 2766.70]  maar dan moet ik het weg kunnen geven...
[2766.70 --> 2767.76]  aan een AI companion...
[2767.76 --> 2768.20]  dan een baby.
[2768.44 --> 2768.88]  Maar...
[2768.88 --> 2769.52]  We vinden die week...
[2769.52 --> 2771.50]  Door de week luister je naar AI-wietse...
[2771.50 --> 2773.26]  en op zondag is hij er in het einde.
[2773.74 --> 2774.62]  Dat zou leuk zijn.
[2775.20 --> 2775.50]  Zeker.
[2775.74 --> 2776.46]  Ik zal proberen...
[2776.46 --> 2777.62]  mijn antwoord wat minder...
[2777.62 --> 2779.24]  wat meer concreet te krijgen.
[2780.24 --> 2780.80]  Kijk...
[2780.80 --> 2782.88]  Een heel beknopte wietse is door de week.
[2782.94 --> 2783.82]  Dat zou het zijn.
[2784.44 --> 2785.00]  Lukt niet man.
[2785.72 --> 2787.36]  Ik hink een beetje op twee voeten.
[2787.48 --> 2788.46]  Kijk, soms...
[2788.46 --> 2789.38]  Of dan zie ik weer iets...
[2789.38 --> 2790.34]  weet je wel...
[2790.34 --> 2792.24]  En dan ben ik weer aan het lezen...
[2792.24 --> 2793.10]  over zo'n...
[2793.10 --> 2794.20]  Verify step by step.
[2794.40 --> 2796.42]  Een van de papers van OpenAI...
[2796.42 --> 2797.74]  die heel erg gaan over...
[2797.74 --> 2799.30]  Je kan wel goed worden in wiskunde...
[2799.30 --> 2800.30]  als je een AI vraagt...
[2800.30 --> 2801.52]  om het per stap uit te leggen...
[2801.52 --> 2803.22]  en dan per stap kan je rating geven...
[2803.22 --> 2803.86]  en dan op een gegeven moment...
[2803.86 --> 2805.98]  wordt dat ding toch wel slimmer in logica...
[2805.98 --> 2807.80]  en eigenlijk waar nu...
[2807.80 --> 2809.80]  die taalmodellen door de mand vallen...
[2809.80 --> 2810.46]  daar zijn gewoon...
[2811.28 --> 2812.74]  mogelijkheden om dat...
[2812.74 --> 2813.82]  te verbeteren...
[2813.82 --> 2815.62]  en empirisch...
[2815.62 --> 2817.14]  dus bewezen...
[2817.14 --> 2817.62]  verbeteren.
[2817.64 --> 2818.34]  Dat weten we nu.
[2818.44 --> 2818.92]  Dat is niet meer...
[2818.92 --> 2819.42]  Gaat het lukken?
[2819.48 --> 2819.84]  Dat lukt.
[2820.02 --> 2821.58]  Dus eigenlijk de...
[2821.58 --> 2822.80]  Wat mensen nu zeggen over...
[2822.80 --> 2824.72]  Hij hallucineert zoveel...
[2824.72 --> 2825.40]  Sorry man.
[2825.80 --> 2827.22]  Dat kan gewoon opgelost worden.
[2827.34 --> 2828.18]  Er ligt niks in de weg.
[2828.38 --> 2830.22]  Wat er in de weg ligt...
[2830.22 --> 2832.94]  is gewoon tijd om het te integreren.
[2833.44 --> 2835.28]  Er zijn niet genoeg GPU's...
[2835.28 --> 2836.20]  en als er GPU's zijn...
[2836.20 --> 2837.16]  is er niet genoeg energie.
[2837.50 --> 2838.06]  Gewoon letterlijk.
[2838.24 --> 2839.20]  Er is niet genoeg energie.
[2839.20 --> 2840.72]  Dus...
[2840.72 --> 2842.16]  Dan denk ik...
[2842.16 --> 2843.94]  Dan heeft het vooral te maken met...
[2843.94 --> 2845.10]  niet meer...
[2845.10 --> 2845.60]  Kan het...
[2845.60 --> 2846.98]  maar wanneer komt het dan?
[2847.50 --> 2849.28]  En wanneer komt het in een vorm...
[2849.28 --> 2851.18]  dat mensen het ook kunnen toepassen...
[2851.18 --> 2852.32]  in hun eigen leven...
[2852.32 --> 2853.38]  en ineens...
[2853.38 --> 2853.82]  Nou...
[2853.82 --> 2854.16]  Wacht...
[2854.16 --> 2855.08]  Ik maak het even concreet.
[2856.30 --> 2857.58]  Anderhalve week geleden...
[2857.58 --> 2858.80]  een vriend van mij zei tegen mij...
[2858.80 --> 2859.74]  Yo, kan ik even bellen?
[2859.84 --> 2860.12]  Ik zei...
[2860.12 --> 2860.74]  Nou, geen probleem.
[2861.20 --> 2862.58]  Wij gaan bellen...
[2862.58 --> 2863.70]  en hij zegt...
[2863.70 --> 2865.38]  Het is gewoon bij me geland.
[2865.54 --> 2866.34]  Ik heb gewoon een soort...
[2866.34 --> 2867.28]  existentiële crisis nu.
[2867.40 --> 2868.36]  Het is echt heftig...
[2868.36 --> 2869.52]  want ik merk gewoon...
[2869.52 --> 2871.82]  wat ik dacht dat mij speciaal maakte...
[2871.82 --> 2872.72]  is niet zo speciaal.
[2873.04 --> 2874.38]  Op het gebied van...
[2874.38 --> 2875.44]  kennis, kunde...
[2875.44 --> 2877.02]  expertkennis op een bepaald domein.
[2877.50 --> 2878.46]  Want de hele dag...
[2878.46 --> 2880.10]  interacteren met JGPT...
[2880.10 --> 2881.12]  dat ding wordt alleen maar beter.
[2881.44 --> 2882.58]  Ik word er beter in...
[2882.58 --> 2883.56]  om met dat ding te praten.
[2884.04 --> 2885.00]  Daardoor besef ik me eigenlijk...
[2885.00 --> 2885.74]  dat het aan mij lag...
[2885.74 --> 2886.62]  dat het niet zo slim was...
[2886.62 --> 2887.52]  want ik moet gewoon...
[2887.52 --> 2888.76]  slimmer leren praten ermee.
[2889.20 --> 2889.72]  Maar goed...
[2889.72 --> 2891.64]  En toen zei ik ook van...
[2891.64 --> 2892.16]  Ja, jeetje...
[2892.16 --> 2893.94]  Vanmorgen met jou bellen?
[2894.72 --> 2896.10]  Jij bent dan de hulplijn...
